Date,Price,Open,High,Low,Vol.,Change
2018/12/4,"2,114.35","2,125.67","2,128.94","2,105.45",507.52M,-0.0082
2018/12/5,"2,101.31","2,086.57","2,107.69","2,086.57",492.72M,-0.0062
2018/12/6,"2,068.69","2,094.62","2,094.62","2,064.00",537.41M,-0.0155
2018/12/7,"2,075.76","2,081.68","2,086.84","2,065.62",371.59M,0.0034
2018/12/10,"2,053.79","2,048.45","2,061.78","2,043.21",344.16M,-0.0106
2018/12/11,"2,052.97","2,058.16","2,060.94","2,047.17",273.93M,-0.0004
2018/12/12,"2,082.57","2,062.77","2,084.77","2,061.13",457.13M,0.0144
2018/12/13,"2,095.55","2,087.43","2,104.43","2,084.37",379.82M,0.0062
2018/12/14,"2,069.38","2,095.64","2,095.64","2,061.40",448.24M,-0.0125
2018/12/17,"2,071.09","2,071.21","2,075.93","2,065.51",444.52M,0.0008
2018/12/18,"2,062.11","2,057.39","2,074.31","2,054.26",429.53M,-0.0043
2018/12/19,"2,078.84","2,068.95","2,080.65","2,063.01",418.80M,0.0081
2018/12/20,"2,060.12","2,063.70","2,071.08","2,047.52",421.06M,-0.009
2018/12/21,"2,061.49","2,052.70","2,061.51","2,049.76",311.39M,0.0007
2018/12/24,"2,055.01","2,050.38","2,059.94","2,046.18",285.28M,-0.0031
2018/12/26,"2,028.01","2,028.81","2,037.83","2,014.28",321.50M,-0.0131
2018/12/27,"2,028.44","2,032.09","2,035.57","2,021.39",398.02M,0.0002
2018/12/28,"2,041.04","2,036.70","2,046.97","2,035.41",352.68M,0.0062
